Sentiment,Processed_Text
neutral,include software development internet mobile telephone content communications value-added software financial services security applications systems integration electronics `` ebrd informed
neutral,yit lodged counter claims neste oil totaling eur25m primarily based work carried contract additional costs incurred due prolongation project
neutral,follow berkshire hathaway apple stock
neutral,total amount subscription prices recorded fund invested non-restricted equity
positive,tsla 5th wave 1 hour chart hammer candle developing close 200 sma might good spot calls
positive,strongest growth seen new markets russia czech republic slovakia
neutral,tower 's engineers created 18 degree westward lean four times inclination leaning tower pisa using diagrid structures aligned geometrically using tekla structures bim building information modeling software
neutral,amer bought salomon adidas october said job cuts aimed boosting competitiveness
negative,acando ab acanb ss fell 8.9 percent 13.35 kronor lowest close since dec. 11
positive,measures suominen corporation aims ensure competitiveness flexible packaging business long term
positive,ifhedieshedies bullhorn334 znga shorts getting nervous '' ''
neutral,financial statements release available publishing company 's internet pages www.cargotec.com
neutral,world glass coming egypt invite visitors around world attend glass world exhibition 2009 register www.glassworldex.com
negative,comparable operating profit totaled eur 4.7 mn eur 5.1 mn corresponding period 2005 representing 7.4 net sales
neutral,raw materials come europe us paid euros us dollars sales take place rubles
neutral,adpnews may 4 2010 finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit declined eur 12.9 million usd 17m first quarter 2010 eur 17 million correspond
neutral,"maximum 666,104 new shares subscribed exercising b options 2004 stock option plan"
neutral,inspects companys strategic strengths weaknesses
neutral,planned closing date provided
neutral,lemminkainen group headquartered helsinki finland operates sectors construction industry civil engineering building contracting technical building services building materials industry
neutral,implementation deal subject approval finnish competition authority
positive,microsoft also churned courtship agreeing use navteq mapping service offered company nokia bought 8.1 billion years ago
neutral,geosolutions team provides intriguing new technology combining gps mobile-based technologies together internet-based social networking
neutral,3c expo signature show dongguan supported dongguan municipal government every year featuring computer accessories software communication network products
neutral,pharmaceuticals poland brand-new market analysis gives clear overview actual situation future outlook pharmaceutical market poland
neutral,trading new shares right dividends distributions funds start exchange helsinki tomorrow
neutral,dual-fuel engines vessel operate liquefied natural gas lng low emissions
neutral,among finnish shares traded us stora enso closed 0.33 pct lower 12.11 eur upm-kymmene 0.28 pct 18.10 eur metso 0.13 pct 31.06 eur
neutral,addition presentations held president ceo kai telanne cfo tuomas itkonen participants opportunity discuss members company 's management
neutral,change holdings accordance chapter 2 section 9 finnish securities markets act described
positive,capman partner able develop business continue focus providing quality restaurant services customers `` says christopher wynne ceo papa john 's russia
neutral,cranes would installed onboard two freighters ordered singaporean ship owner masterbulk
neutral,business divested generates consolidated net sales eur 60 million annually currently 640 employees
neutral,adpnews feb 5 2010 finnish real estate investor sponda oyj hel sda1v said today slipped net loss eur 81.5 million usd 11.8 2009 profit eur 29.3 million 2008
neutral,company eur2 .8 bn assets counts among five largest shareholders finnish insurers ilmarinen 4.34 varma 0.70 well finnish state pension fund ver 0.61
neutral,addition 29 employees laid notice whole workforce laid short periods needed
negative,chessnwine iwm 30-minute chart small caps threatening descending triangle breakdown 110.20 http //stks.co/r0kkm
neutral,corporate update c 1995-2009 m2 communications ltd finnish technology group teleste corporation omx helsinki tlt1v reported wednesday 4 february operating profit eur5 .6 net sales eur108 .7 year 2008
neutral,stockholm-based nordea bank sto nda said yesterday hired casper von koskull lead corporate merchant banking capital markets unit effective 1 september
negative,total need staff cuts corresponds 300 man-years
positive,finnish fibers plastic products maker suominen corporation said net loss narrowed 1.6 mln euro 2.0 mln first nine months 2006 2.16 mln euro 2.7 mln period 2005
positive,companiesfresnillo shares jump 8 silver price breaks 21
neutral,bluewin security available monthly subscription
positive,operating profit eur 11.4 mn eur 7.5 mn
positive,finnish raisio diagnostics launching new dna-based quick tests ensure safety food
neutral,non-recurring costs caused talentum 's premedia business area restructuring amount 2.0 mln euro 2.7 mln included company 's financial results second quarter 2007
positive,finnish software developer basware oyj said november 30 2006 u.s. subsidiary basware inc. order provide software contract lifecycle management unnamed u.s. medical technology company
neutral,chain unite 45-50 centres end 2008
neutral,"important thing keep bank 's existing 15,000 customers"
neutral,prices stainless steel also rose europe
neutral,sweden gallerix accumulated sek denominated sales 1 eur denominated sales 11
negative,isrg isrg short http //stks.co/f1vvu http //stks.co/c1qrm
positive,dara breaking
neutral,"total 38,244 new citycon shares nominal value eur 1.35 per share subscribed 19 april exercising a-b-c options based company 's stock option plan 1999"
positive,aapl 'm sure short holding breath hoping miracle lol
neutral,`` management decided end 2005 increase cathode copper capacity
neutral,image data produced browser phone server converted bitmapped image sent handset display ``
positive,shire says internal synergy goals baxalta deal higher
neutral,one largest projects magazine division sanomawsoy sanoma magazines international 2006 became launch russian magazine gloriya
